"id","name","state","company_id/id","account_asset_id/id","account_depreciation_expense_id/id","account_depreciation_id/id","journal_id/id","method","method_number","method_period","prorata_computation_type","prorata_date","acquisition_date","active"
"marin.asset_eqt1_lmmr","Automovil FF","Model","marin.company_lmmr","marin.account_154_01_001_lmmr","marin.account_504_09_001_lmmr","marin.account_154_01_001_lmmr","marin.journal_eqt1_lmmr","Straight Line","48","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqt2_lmmr","Automovil NF","Model","marin.company_lmmr","marin.account_154_01_002_lmmr","marin.account_504_09_002_lmmr","marin.account_154_01_002_lmmr","marin.journal_eqt2_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqc1_lmmr","Equipo de computo FF","Model","marin.company_lmmr","marin.account_156_01_001_lmmr","marin.account_504_11_001_lmmr","marin.account_156_01_001_lmmr","marin.journal_eqc1_lmmr","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqtl1_lmmr","Equipo de telecom FF","Model","marin.company_lmmr","marin.account_165_01_001_lmmr","marin.account_504_12_001_lmmr","marin.account_165_01_001_lmmr","marin.journal_eqtl1_lmmr","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_maq1_lmmr","Maquinaria FF","Model","marin.company_lmmr","marin.account_153_01_001_lmmr","marin.account_504_08_001_lmmr","marin.account_153_01_001_lmmr","marin.journal_maq1_lmmr","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_maq2_lmmr","Maquinaria NF","Model","marin.company_lmmr","marin.account_153_01_002_lmmr","marin.account_504_08_002_lmmr","marin.account_153_01_002_lmmr","marin.journal_maq2_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_moq1_lmmr","Mobiliario oficina FF","Model","marin.company_lmmr","marin.account_155_01_001_lmmr","marin.account_504_10_001_lmmr","marin.account_155_01_001_lmmr","marin.journal_moq1_lmmr","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_moq2_lmmr","Mobiliario oficina NF","Model","marin.company_lmmr","marin.account_155_01_002_lmmr","marin.account_504_10_002_lmmr","marin.account_155_01_002_lmmr","marin.journal_moq2_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_trr1_lmmr","Terrenos FF","Model","marin.company_lmmr","marin.account_151_01_001_lmmr","marin.account_504_14_001_lmmr","marin.account_151_01_001_lmmr","marin.journal_trr1_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_trr2_lmmr","Terrenos NF","Model","marin.company_lmmr","marin.account_151_01_002_lmmr","marin.account_504_14_002_lmmr","marin.account_151_01_002_lmmr","marin.journal_trr2_lmmr","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqt1_lmmg","Automovil FF","Model","marin.company_lmmg","marin.account_154_01_001_lmmg","marin.account_504_09_001_lmmg","marin.account_154_01_001_lmmg","marin.journal_eqt1_lmmg","Straight Line","48","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqt2_lmmg","Automovil NF","Model","marin.company_lmmg","marin.account_154_01_002_lmmg","marin.account_504_09_002_lmmg","marin.account_154_01_002_lmmg","marin.journal_eqt2_lmmg","Straight Line","0","Years","Constant Periods","2024-02-08","2024-02-08","True"
"marin.asset_eqc1_lmmg","Equipo de computo FF","Model","marin.company_lmmg","marin.account_156_01_001_lmmg","marin.account_504_11_001_lmmg","marin.account_156_01_001_lmmg","marin.journal_eqc1_lmmg","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_eqtl1_lmmg","Equipo de telecom FF","Model","marin.company_lmmg","marin.account_165_01_001_lmmg","marin.account_504_12_001_lmmg","marin.account_165_01_001_lmmg","marin.journal_eqtl1_lmmg","Straight Line","40","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_maq1_lmmg","Maquinaria FF","Model","marin.company_lmmg","marin.account_153_01_001_lmmg","marin.account_504_08_001_lmmg","marin.account_153_01_001_lmmg","marin.journal_maq1_lmmg","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_maq2_lmmg","Maquinaria NF","Model","marin.company_lmmg","marin.account_153_01_002_lmmg","marin.account_504_08_002_lmmg","marin.account_153_01_002_lmmg","marin.journal_maq2_lmmg","Straight Line","0","Years","Constant Periods","2024-06-30","2024-06-30","True"
"marin.asset_moq1_lmmg","Mobiliario oficina FF","Model","marin.company_lmmg","marin.account_155_01_001_lmmg","marin.account_504_10_001_lmmg","marin.account_155_01_001_lmmg","marin.journal_moq1_lmmg","Straight Line","120","Months","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_moq2_lmmg","Mobiliario oficina NF","Model","marin.company_lmmg","marin.account_155_01_002_lmmg","marin.account_504_10_002_lmmg","marin.account_155_01_002_lmmg","marin.journal_moq2_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_trr1_lmmg","Terrenos FF","Model","marin.company_lmmg","marin.account_151_01_001_lmmg","marin.account_504_14_001_lmmg","marin.account_151_01_001_lmmg","marin.journal_trr1_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
"marin.asset_trr2_lmmg","Terrenos NF","Model","marin.company_lmmg","marin.account_151_01_002_lmmg","marin.account_504_14_002_lmmg","marin.account_151_01_002_lmmg","marin.journal_trr2_lmmg","Straight Line","0","Years","Constant Periods","2024-01-01","2024-01-01","True"
